filmLabel,cost,boxOffice,currencyCode,wikiPageID,freebaseMovieID,movieName,movieReleaseDate,movieBoxOfficeRevenue,movieRuntime,movieLanguages,movieCountries,movieGenres
10 Things I Hate About You,13000000.0,53478579.0,USD,398934.0,/m/023m3f,10 Things I Hate About You,1999-03-31,53478166.0,97.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/01j1n2"": ""Coming of age"", ""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen""}"
10 to Midnight,4520000.0,7175592.0,USD,14979283.0,/m/03h3kjc,10 to Midnight,1983,7175592.0,103.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}"
12 Monkeys,29500000.0,168839459.0,USD,30575.0,/m/07j6w,Twelve Monkeys,1995-12-27,168839459.0,131.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0279xh5"": ""Future noir"", ""/m/094ddt"": ""Doomsday film"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/0hc1z"": ""Apocalyptic and post-apocalyptic fiction"", ""/m/07s9rl0"": ""Drama"", ""/m/07s2s"": ""Time travel"", ""/m/026ny"": ""Dystopia"", ""/m/01xpvb7"": ""Airplanes and airports""}"
127 Hours,18000000.0,60000000.0,USD,25244870.0,/m/09gb_4p,127 Hours,2010-09-04,61738797.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/03bxz7"": ""Biographical film"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}"
2 Fast 2 Furious,76000000.0,236350661.0,USD,407288.0,/m/024lff,2 Fast 2 Furious,2003-06-03,236350661.0,101.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action"", ""/m/01z02hx"": ""Sports""}"
2001: A Space Odyssey,10500000.0,146000000.0,USD,23941708.0,/m/08ct6,2001: A Space Odyssey,1968-04-06,190000000.0,156.0,"{""/m/02h40lc"": ""English Language"", ""/m/06b_j"": ""Russian Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0520lz"": ""Roadshow theatrical release"", ""/m/073_6"": ""Surrealism"", ""/m/02n4kr"": ""Mystery"", ""/m/01xpvb7"": ""Airplanes and airports""}"
28 Days Later,8000000.0,84661434.0,USD,145892.0,/m/012kyx,28 Days Later,2002-11-01,82719885.0,113.0,"{""/m/02hwwql"": ""Korean Sign Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/06nm1"": ""Spanish Language"", ""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language"", ""/m/01gp_d"": ""Finnish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom"", ""/m/059j2"": ""Netherlands""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/094ddt"": ""Doomsday film"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/03p15s3"": ""Plague"", ""/m/0jb4p32"": ""Zombie Film""}"
28 Weeks Later,15000000.0,65048678.0,USD,5971538.0,/m/0fhd04,28 Weeks Later,2007-04-26,64238440.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/06mkj"": ""Spain"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/094ddt"": ""Doomsday film"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/03p15s3"": ""Plague"", ""/m/0jb4p32"": ""Zombie Film""}"
3 Idiots,4203128.809085484,47075042.66175742,USD,17927503.0,/m/047q2k1,Three Idiots,2009-12-23,,164.0,"{""/m/03k50"": ""Hindi Language"", ""/m/02hxcvy"": ""Urdu Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03rk0"": ""India""}","{""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}"
30 Minutes or Less,28000000.0,40547440.0,USD,28370864.0,/m/0crfcdl,30 Minutes or Less,2011-08-12,40000000.0,84.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada"", ""/m/0345h"": ""Germany""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/01z4y"": ""Comedy"", ""/m/03k9fj"": ""Adventure""}"
