filmLabel,cost,boxOffice,currencyCode,wikiPageID,freebaseMovieID,movieName,movieReleaseDate,movieBoxOfficeRevenue,movieRuntime,movieLanguages,movieCountries,movieGenres
300: Rise of an Empire,110000000.0,337580051.0,USD,35718038.0,/m/0jt3mlt,300: Battle of Artemisia,2013-08-01,,,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}"
7 Khoon Maaf,1801340.918179493,3962950.019994884,USD,26325450.0,/m/0bbzlgd,Saat Khoon Maaf,2011-02-17,,143.0,"{""/m/03k50"": ""Hindi Language"", ""/m/06b_j"": ""Russian Language"", ""/m/02hxcvy"": ""Urdu Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03rk0"": ""India""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama""}"
A Better Tomorrow,8700000.0,10751422.0,USD,89541.0,/m/0mb8c,A Better Tomorrow,1986,,94.0,"{""/m/0459q4"": ""Standard Cantonese"", ""/m/02h40lc"": ""English Language"", ""/m/0653m"": ""Standard Mandarin"", ""/m/012w70"": ""Cantonese""}","{""/m/03h64"": ""Hong Kong"", ""/m/0d05w3"": ""China""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0556j8"": ""Buddy film"", ""/m/03q4nz"": ""World cinema"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/07s9rl0"": ""Drama"", ""/m/0gw5w78"": ""Gangster Film"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}"
A Cinderella Story,19000000.0,70067909.0,USD,466340.0,/m/02cxj_,A Cinderella Story,2004-07-16,70067909.0,95.0,"{""/m/01wgr"": ""Czech Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/0bj8m2"": ""Children's"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/0hqxf"": ""Family Film"", ""/m/02b5_l"": ""Teen""}"
A Dirty Shame,15000000.0,1914166.0,USD,1330877.0,/m/04tb5k,A Dirty Shame,2004-09-12,1914166.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/01q03"": ""Cult"", ""/m/01jw2w"": ""Gross-out film"", ""/m/01z4y"": ""Comedy"", ""/m/0vgkd"": ""Black comedy"", ""/m/0bbc17"": ""Gross out""}"
A Fistful of Dollars,200000.0,3500000.0,USD,441926.0,/m/028zh1,A Fistful of Dollars,1964-12-10,,100.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain"", ""/m/03rjj"": ""Italy"", ""/m/0345h"": ""Germany""}","{""/m/03q4nz"": ""World cinema"", ""/m/0771_"": ""Spaghetti Western"", ""/m/0jdm8"": ""Remake"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hfjk"": ""Western"", ""/m/02kdv5l"": ""Action""}"
A Good Day to Die Hard,92000000.0,304654182.0,USD,34228306.0,/m/0hhgg_1,A Good Day to Die Hard,2013-02-14,,,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action""}"
A History of Violence,32000000.0,60740827.0,USD,1726126.0,/m/05rfst,A History of Violence,2005-05-16,60740827.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/0hj3nbk"": ""Marriage Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/09blyk"": ""Psychological thriller""}"
A Knight's Tale,65000000.0,117487473.0,USD,65669.0,/m/0hdz9,A Knight's Tale,2001-03-08,117487473.0,144.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3m_6"": ""Costume Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action""}"
A Man Apart,36000000.0,44000000.0,USD,1675523.0,/m/05mj4d,A Man Apart,2003-04-04,44350926.0,110.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}"
A Midnight Clear,5000000.0,1526697.0,USD,3461760.0,/m/09dr7k,A Midnight Clear,1992-04-24,,107.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01fc50"": ""Anti-war"", ""/m/0219x_"": ""Indie"", ""/m/082gq"": ""War film"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/02kdv5l"": ""Action"", ""/m/07k67c"": ""Anti-war film""}"
A Perfect Getaway,14000000.0,22852638.0,USD,17365387.0,/m/043lfrj,A Perfect Getaway,2009-08-06,22852638.0,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/09blyk"": ""Psychological thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02n4kr"": ""Mystery"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/01585b"": ""Slasher""}"
A Separation,800000.0,24426169.0,USD,30547958.0,/m/0g9zljd,A Separation,2011-02-15,,123.0,"{""/m/032f6"": ""Persian Language""}","{""/m/03shp"": ""Iran""}","{""/m/07s9rl0"": ""Drama""}"
A Simple Life,5400000.0,6202317.0,USD,31371925.0,/m/0gl02yg,A Simple Life,2011-09-05,3580000.0,119.0,"{""/m/01r2l"": ""Chinese language"", ""/m/0459q4"": ""Standard Cantonese"", ""/m/02h40lc"": ""English Language"", ""/m/0653m"": ""Standard Mandarin"", ""/m/012w70"": ""Cantonese""}","{""/m/03h64"": ""Hong Kong"", ""/m/0d05w3"": ""China""}","{""/m/07s9rl0"": ""Drama"", ""/m/0gw5qqq"": ""Chinese Movies""}"
A Tale of Two Sisters,3700000.0,1062878.0,USD,2339186.0,/m/074wld,A Tale of Two Sisters,2003-06-13,72541.0,115.0,"{""/m/02hwhyv"": ""Korean Language""}","{""/m/06qd3"": ""South Korea""}","{""/m/07s9rl0"": ""Drama"", ""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/03q4nz"": ""World cinema""}"
A Very Long Engagement,56600000.0,70115868.0,USD,1205027.0,/m/04h4c9,A Very Long Engagement,2004-10-27,70115868.0,134.0,"{""/m/064_8sq"": ""French Language"", ""/m/0247v"": ""Corsican Language"", ""/m/04306rv"": ""German Language""}","{""/m/0f8l9c"": ""France"", ""/m/09c7w0"": ""United States of America""}","{""/m/03q4nz"": ""World cinema"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"
A View to a Kill,30000000.0,152400000.0,USD,583932.0,/m/02sg5v,A View to a Kill,1985-05-22,152400000.0,131.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3n4h"": ""Glamorized Spy Film"", ""/m/02kdv5l"": ""Action"", ""/m/0bkbm"": ""Spy""}"
A Walk to Remember,11800000.0,47494916.0,USD,855797.0,/m/03hmr4,A Walk to Remember,2002-01-23,47494916.0,101.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01lrrt"": ""Melodrama"", ""/m/01j1n2"": ""Coming of age"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}"
A Woman's Face,1343000.0,1907000.0,USD,11635934.0,/m/02rm98x,A Woman's Face,1941-05-23,,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/0c3351"": ""Suspense"", ""/m/01g6gs"": ""Black-and-white"", ""/m/09blyk"": ""Psychological thriller""}"
A.I. Artificial Intelligence,100000000.0,235926552.0,USD,142224.0,/m/011xg5,A.I. Artificial Intelligence,2001-06-26,235926552.0,144.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/06n90"": ""Science Fiction"", ""/m/0279xh5"": ""Future noir"", ""/m/03k9fj"": ""Adventure""}"
Action in the North Atlantic,2231000.0,3460000.0,USD,11120431.0,/m/02r0nws,Action in the North Atlantic,1943,,126.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01g6gs"": ""Black-and-white"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action"", ""/m/0hj3mz0"": ""Combat Films""}"
Addams Family Values,47000000.0,110900000.0,USD,876872.0,/m/03kxj2,Addams Family Values,1993-11-19,48919043.0,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0vgkd"": ""Black comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3n0k"": ""Domestic Comedy""}"
Airplane!,3500000.0,83453539.0,USD,46505.0,/m/0ckt6,Airplane!,1980-07-02,83453539.0,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/01hwc6"": ""Absurdism"", ""/m/01q03"": ""Cult"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy"", ""/m/01drsx"": ""Disaster"", ""/m/02l7c8"": ""Romance Film"", ""/m/01xpvb7"": ""Airplanes and airports""}"
Airport '77,6000000.0,91000000.0,USD,1076567.0,/m/043wvb,Airport '77,1977-03-11,30000000.0,114.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/01drsx"": ""Disaster"", ""/m/02kdv5l"": ""Action"", ""/m/01xpvb7"": ""Airplanes and airports""}"
Airport 1975,3000000.0,103000000.0,USD,2159529.0,/m/06r71t,Airport 1975,1974-10-18,47285152.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/01drsx"": ""Disaster"", ""/m/02kdv5l"": ""Action"", ""/m/01xpvb7"": ""Airplanes and airports""}"
Alice and Martin,9773310.521813516,3213531.864841745,USD,12619795.0,/m/027r7fn,Alice and Martin,1998-11-04,3005295.0,104.0,"{""/m/064_8sq"": ""French Language""}","{""/m/0f8l9c"": ""France"", ""/m/06mkj"": ""Spain""}","{""/m/07s9rl0"": ""Drama""}"
Alien 3,50000000.0,159814498.0,USD,213251.0,/m/01f7g_,Alien³,1992-05-22,159773545.0,145.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}"
Alien Resurrection,75000000.0,161376069.0,USD,213246.0,/m/01f7gh,Alien: Resurrection,1997-11-06,161295658.0,116.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}"
Aliens vs. Predator: Requiem,40000000.0,128884494.0,USD,5439220.0,/m/0dlyzx,AVPR: Aliens vs Predator - Requiem,2007-12-25,128884494.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0g092b"": ""Monster movie"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}"
All About Eve,1400000.0,8489279.0,USD,41881.0,/m/0bj25,All About Eve,1950,2900000.0,139.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hn10"": ""LGBT"", ""/m/0vgkd"": ""Black comedy"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}"
"Aloha, Bobby and Rose",600000.0,35000000.0,USD,33770950.0,/m/04j32zb,"Aloha, Bobby and Rose",1975-04-29,35000000.0,85.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0219x_"": ""Indie"", ""/m/0hj3mxr"": ""Chase Movie"", ""/m/04228s"": ""Road movie"", ""/m/0hj3n01"": ""Crime Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"
American Gigolo,4800000.0,22000000.0,USD,667194.0,/m/0316hv,American Gigolo,1980-02-08,,116.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/0hj3n16"": ""Erotic Drama"", ""/m/02js9"": ""Erotica"", ""/m/0hj3n01"": ""Crime Drama"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/03pgfj"": ""New Hollywood""}"
American Me,16000000.0,13000000.0,USD,4362641.0,/m/0bz7sb,American Me,1992-03-13,13086430.0,126.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0gw5w78"": ""Gangster Film"", ""/m/0hj3n01"": ""Crime Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03bxz7"": ""Biographical film""}"
American Pie 2,30000000.0,287553595.0,USD,241471.0,/m/01k0vq,American Pie 2,2001-08-06,287553595.0,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/01jw2w"": ""Gross-out film"", ""/m/01z4y"": ""Comedy"", ""/m/0bbc17"": ""Gross out"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}"
American Wedding,55000000.0,231449203.0,USD,241482.0,/m/01k0xy,American Wedding,2003-07-24,231449203.0,74.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/0gsy3b"": ""Sex comedy"", ""/m/01jw2w"": ""Gross-out film"", ""/m/01z4y"": ""Comedy"", ""/m/0bbc17"": ""Gross out"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}"
Amélie,10000000.0,174118254.0,USD,44302.0,/m/0c296,Amélie,2001-04-25,173921954.0,120.0,"{""/m/064_8sq"": ""French Language"", ""/m/06b_j"": ""Russian Language""}","{""/m/0f8l9c"": ""France"", ""/m/0345h"": ""Germany""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03q4nz"": ""World cinema"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"
Analyze That,60000000.0,55003135.0,USD,2513894.0,/m/07k3zl,Analyze That,2002-12-06,55003135.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3m_x"": ""Crime Comedy"", ""/m/0556j8"": ""Buddy film"", ""/m/01z4y"": ""Comedy"", ""/m/0gw5w78"": ""Gangster Film""}"
Analyze This,80000000.0,176880000.0,USD,945029.0,/m/03s5lz,Analyze This,1999-03-05,,109.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0chghy"": ""Australia""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01z4y"": ""Comedy""}"
Anatomy of a Murder,2000000.0,8000000.0,USD,92684.0,/m/0n04r,Anatomy of a Murder,1959-07-01,11000000.0,161.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/01g6gs"": ""Black-and-white"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/05bh16v"": ""Courtroom Drama""}"
Angel Heart,18000000.0,17185632.0,USD,673682.0,/m/031t9l,Angel Heart,1987-03-06,17185632.0,113.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0vjs6"": ""Detective"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/0fdjb"": ""Supernatural"", ""/m/02n4kr"": ""Mystery"", ""/m/02wtdps"": ""Crime Thriller""}"
Angel-A,1283147.989734816,17429426.860564586,USD,3452126.0,/m/09d6fb,Angel-A,2005-12-21,,91.0,"{""/m/064_8sq"": ""French Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/0f8l9c"": ""France""}","{""/m/02n4lw"": ""Art film"", ""/m/03q4nz"": ""World cinema"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"
Animal House,3000000.0,142000000.0,USD,75261.0,/m/0j_tw,National Lampoon's Animal House,1978-07-27,141600000.0,109.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gsy3b"": ""Sex comedy"", ""/m/01hwc6"": ""Absurdism"", ""/m/01jw2w"": ""Gross-out film"", ""/m/01z4y"": ""Comedy"", ""/m/0bbc17"": ""Gross out"", ""/m/02l7c8"": ""Romance Film""}"
Anna and the King,92000000.0,113996937.0,USD,473253.0,/m/02drrg,Anna and the King,1999-12-06,113996937.0,140.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language"", ""/m/0c_v2"": ""Thai Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04xvh5"": ""Costume drama"", ""/m/06l3bl"": ""Epic"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"
Annie Hall,4000000.0,38300000.0,USD,66870.0,/m/0hmr4,Annie Hall,1977-04-20,38251425.0,94.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03p5xs"": ""Comedy of manners"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/03pgfj"": ""New Hollywood""}"
Another 48 Hrs.,38000000.0,153518974.0,USD,1056023.0,/m/0424gt,Another 48 Hrs.,1990-06-08,,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0556j8"": ""Buddy film"", ""/m/0hj3l_y"": ""Action Comedy"", ""/m/0399b7"": ""Buddy cop"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action""}"
