filmLabel,cost,boxOffice,currencyCode,wikiPageID,costBoxOfficeMultiplier
"""Crocodile"" Dundee II",9000000.0,239606210.0,USD,23002767,26.622912222222222
(500) Days of Summer,7500000.0,60700000.0,USD,41468978,8.093333333333334
...And Justice for All,4000000.0,33300000.0,USD,24712812,8.325
10 Cloverfield Lane,42853.46970259692,205403.00831357314,USD,44662181,4.793147666666667
10 Things I Hate About You,13000000.0,53478579.0,USD,398934,4.113736846153846
10 to Midnight,4520000.0,7175592.0,USD,14979283,1.5875203539823008
12,2500000.0,7537453.0,USD,469071,3.0149812
12 Monkeys,29500000.0,168839459.0,USD,30575,5.723371491525424
12 Strong,35000000.0,71118378.0,USD,52286135,2.031953657142857
12 Years a Slave,20000000.0,187733202.0,USD,42116598,9.3866601
127 Hours,18000000.0,60000000.0,USD,25244870,3.3333333333333335
13 Hours: The Secret Soldiers of Benghazi,50000000.0,69411370.0,USD,45056190,1.3882274
17 Hours,4811804.96150556,396925.620188195,USD,71483029,0.08248996444444444
18 Meals,286421.0863986313,333532.8485885372,USD,53315867,1.164484266093235
1917,95000000.0,384919389.0,USD,34595,4.051783042105263
2 Fast 2 Furious,76000000.0,236350661.0,USD,407288,3.1098771184210525
"2 Francos, 40 Pesetas: Back to Switzerland",2994011.976047904,915141.1462788708,USD,-1,0.30565714285714285
2001: A Space Odyssey,10500000.0,146000000.0,USD,23941708,13.904761904761905
2012,280000000.0,791217826.0,USD,47374,2.82577795
21,35000000.0,157927340.0,USD,16924384,4.5122097142857145
21 Jump Street,55000000.0,201585328.0,USD,478145,3.6651877818181817
22 July,20000000.0,166526.0,USD,190668,0.0083263
22 Jump Street,65000000.0,331333876.0,USD,39591044,5.097444246153846
28 Days Later,8000000.0,84661434.0,USD,145892,10.58267925
28 Weeks Later,15000000.0,65048678.0,USD,5971538,4.336578533333333
3 Idiots,4203128.809085484,47075042.66175742,USD,17927503,11.2
30 Minutes or Less,28000000.0,40547440.0,USD,28370864,1.448122857142857
30 svidaniy,1000000.0,1492651.0,USD,-1,1.492651
300,65000000.0,456068181.0,USD,42379,7.016433553846154
300: Rise of an Empire,110000000.0,337580051.0,USD,35718038,3.0689095545454546
42,40000000.0,95000000.0,USD,14985539,2.375
47 Ronin,175000000.0,151783839.0,USD,697221,0.8673362228571428
4x4,3000000.0,1292773.0,USD,756600,0.43092433333333335
50/50,8000000.0,39187783.0,USD,33164802,4.898472875
7 Boxes,650000.0,4447309012.0,USD,36846528,6842.013864615385
7 Khoon Maaf,1801340.918179493,3962950.0199948843,USD,26325450,2.1999999999999997
7 Virgins,2374518.8195038494,5196606.939692044,USD,49630149,2.1884884200571904
8 Best Dates,814668.3756598814,2976255.1324107666,USD,59919513,3.6533333333333333
8 First Dates,2300000.0,9100000.0,USD,59898991,3.9565217391304346
8 Mile,41000000.0,242900000.0,USD,4998295,5.924390243902439
8 New Dates,2300000.0,7456577.0,USD,59919215,3.24199
90 Minutes in Heaven,5000000.0,4842699.0,USD,7704977,0.9685398
A Bad Moms Christmas,28000000.0,130000000.0,USD,53945884,4.642857142857143
A Beautiful Mind,58000000.0,313500000.0,USD,43806,5.405172413793103
A Better Tomorrow,8700000.0,10751422.0,USD,89541,1.235795632183908
A Bridge Too Far,27000000.0,50750000.0,USD,8237581,1.8796296296296295
A Cinderella Story,19000000.0,70067909.0,USD,466340,3.687784684210526
A Clockwork Orange,2200000.0,26589355.0,USD,3937931,12.086070454545455
A Dirty Shame,15000000.0,1914166.0,USD,1330877,0.12761106666666666
A Dog's Purpose,22000000.0,192345040.0,USD,35739004,8.742956363636363
A Field in England,367962.713111738,119213.78633631792,USD,39388324,0.32398333333333335
A Fistful of Dollars,200000.0,3500000.0,USD,441926,17.5
A Ghost Story,100000.0,1951683.0,USD,52351891,19.51683
A Good Day to Die Hard,92000000.0,304654182.0,USD,34228306,3.3114585
A Hard Day's Night,999.9142930605949,39996.571722423796,USD,3603157,40.0
A Hijacking,2150599.300338361,385451.0523599243,USD,37301423,0.1792296
A History of Violence,32000000.0,60740827.0,USD,1726126,1.89815084375
A Hologram for the King,35000000.0,11846010.0,USD,36214694,0.3384574285714286
A House for Rent with All the Inconveniences,1021051.0308270514,5.192153114205644,USD,-1,5.085106382978723e-06
A Knight's Tale,65000000.0,117487473.0,USD,65669,1.8074995846153845
A Man Apart,36000000.0,44000000.0,USD,1675523,1.2222222222222223
A Man Called Otto,50000000.0,1256916.0,USD,69951338,0.02513832
A Man Called Ove,3683919.690550746,2643212.37797016,USD,69453006,0.7174999999999999
A Man for All Seasons,2000000.0,28350000.0,USD,11242070,14.175
A Matter of Faith,600000.0,677577.0,USD,45002574,1.129295
A Midnight Clear,5000000.0,1526697.0,USD,3461760,0.3053394
A Perfect Getaway,14000000.0,22852638.0,USD,17365387,1.6323312857142858
A Place in the Sun,2300000.0,7000000.0,USD,76009,3.0434782608695654
A Quiet Place,17000000.0,340952971.0,USD,54470227,20.056057117647057
A Room with a View,2821047.4671899914,25808233.778977063,USD,113470,9.148457826086956
A Rough Draft,2172449.0017596837,2270209.2068388695,USD,57630013,1.045
A Separation,800000.0,24426169.0,USD,30547958,30.53271125
A Simple Life,5400000.0,6202317.0,USD,31371925,1.1485772222222221
A Star Is Born,36000000.0,430718255.0,USD,61533,11.964395972222222
A Street Cat Named Bob,8000000.0,8370555.0,USD,48942841,1.046319375
A Tale of Two Sisters,3700000.0,1062878.0,USD,2339186,0.2872643243243243
A Taxi Driver,11345346.290223034,65237.96485665534,USD,53287264,0.005750196000000001
A Thousand Words,40000000.0,22044277.0,USD,35013880,0.551106925
A Time to Kill,40000000.0,152266007.0,USD,39115486,3.806650175
A Tree Grows in Brooklyn,3600000.0,3000000.0,USD,12835761,0.8333333333333334
A Very Long Engagement,56600000.0,70115868.0,USD,1205027,1.238796254416961
A View to a Kill,30000000.0,152400000.0,USD,583932,5.08
A Walk to Remember,11800000.0,47494916.0,USD,855797,4.024992881355932
